Title,Price (GBP),Price (INR),Rating,Stock Count,Category
"In a Dark, Dark Wood",19.63,2061.15,1,18,Mystery
Behind Closed Doors,52.22,5483.1,4,18,Thriller
You can't bury them all: Poems,33.63,3531.15,2,17,Poetry
Slow States of Collapse: Poems,57.31,6017.55,3,17,Poetry
Reasons to Stay Alive,26.41,2773.05,2,17,Nonfiction
Private Paris (Private #10),47.61,4999.05,5,17,Fiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,2426.55,5,17,Nonfiction
Without Borders (Wanderlove #1),45.07,4732.35,2,16,New Adult
When We Collided,31.77,3335.85,1,16,Contemporary
"We Love You, Charlie Freeman",50.27,5278.35,5,16,Fiction
Untitled Collection: Sabbath Poems 2014,14.27,1498.35,4,16,Poetry
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4638.9,4,16,Nonfiction
Unicorn Tracks,18.78,1971.9,3,16,Fantasy
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,2679.6,1,16,History
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1709.4,1,16,Sequential Art
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3267.6,3,16,Nonfiction
This One Summer,19.49,2046.45,4,16,Sequential Art
Thirst,17.27,1813.35,5,16,Fiction
The Torch Is Passed: A Harding Family Story,19.09,2004.45,1,16,Add a comment
The Secret of Dreadwillow Carse,56.13,5893.65,1,16,Childrens
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,5923.05,1,16,Food and Drink
The Past Never Ends,56.5,5932.5,4,16,Mystery
The Natural History of Us (The Fine Art of Pretending #2),45.22,4748.1,3,16,Young Adult
The Nameless City (The Nameless City #1),38.16,4006.8,4,16,Sequential Art
The Murder That Never Was (Forensic Instincts #5),54.11,5681.55,3,16,Fiction
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4510.8,4,16,Science
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,2508.45,4,16,Add a comment
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,1760.85,3,16,Nonfiction
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,2161.95,5,16,Default
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,3898.65,1,16,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,5886.3,1,16,Nonfiction
The Death of Humanity: and the Case for Life,58.11,6101.55,4,16,Philosophy
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,5150.25,3,16,Health
The Art Forger,40.76,4279.8,3,16,Add a comment
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,2071.65,1,16,History
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,3385.2,5,16,Spirituality
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4392.15,4,16,Nonfiction
Soul Reader,39.58,4155.9,2,16,Default
Security,39.25,4121.25,2,16,Horror
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,2627.1,3,16,Fantasy
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,5359.2,2,16,Sequential Art
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2082.15,2,16,Nonfiction
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,5292.0,3,16,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,1429.05,5,16,Sequential Art
Princess Between Worlds (Wide-Awake Princess #5),13.34,1400.7,5,16,Fantasy
"Pop Gun War, Volume 1: Gift",18.97,1991.85,1,16,Sequential Art
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,3809.4,2,16,History
Patience,10.16,1066.8,3,16,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,1621.2,4,16,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,5083.05,1,16,Sequential Art
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,4866.75,1,16,Self Help
On a Midnight Clear,14.07,1477.35,3,16,Add a comment
Obsidian (Lux #1),14.86,1560.3,2,16,Young Adult
My Paris Kitchen: Recipes and Stories,33.37,3503.85,2,16,Food and Drink
Masks and Shadows,56.4,5922.0,2,16,Fantasy
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,1472.1,4,16,Food and Drink
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,4925.55,2,16,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,4789.05,3,16,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2091.6,2,16,Sequential Art
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,4211.55,1,16,Food and Drink
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,5659.5,2,16,Add a comment
Join,35.67,3745.35,5,16,Science Fiction
In the Country We Love: My Family Divided,22.0,2310.0,4,16,Nonfiction
